user_id,subscription_type,join_date,last_payment date,country,age,gender,device,plan_duration
1,Basic,15-01-22,10-06-23,United States,28,Male,Smartphone,1 Month
2,Premium,05-09-21,22-06-23,Canada,35,Female,Tablet,1 Month
3,Standard,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV,1 Month
4,Standard,10-07-22,26-06-23,Australia,51,Female,Laptop,1 Month
5,Basic,01-05-23,28-06-23,Germany,33,Male,Smartphone,1 Month
6,Premium,18-03-22,27-06-23,France,29,Female,Smart TV,1 Month
7,Standard,09-12-21,25-06-23,Brazil,46,Male,Tablet,1 Month
8,Basic,02-04-23,24-06-23,Mexico,39,Female,Laptop,1 Month
9,Standard,20-10-22,23-06-23,Spain,37,Male,Smartphone,1 Month
10,Premium,07-01-23,22-06-23,Italy,44,Female,Smart TV,1 Month
11,Basic,16-05-22,22-06-23,United States,31,Female,Smartphone,1 Month
12,Premium,23-03-23,28-06-23,Canada,45,Male,Tablet,1 Month
13,Standard,30-11-21,27-06-23,United Kingdom,48,Female,Laptop,1 Month
14,Basic,01-08-22,26-06-23,Australia,27,Male,Smartphone,1 Month
15,Standard,09-05-23,28-06-23,Germany,38,Female,Smart TV,1 Month
16,Premium,07-04-22,27-06-23,France,36,Male,Tablet,1 Month
17,Basic,24-01-22,25-06-23,Brazil,30,Female,Laptop,1 Month
18,Standard,18-10-21,24-06-23,Mexico,43,Male,Smartphone,1 Month
19,Premium,15-02-23,23-06-23,Spain,32,Female,Smart TV,1 Month
20,Basic,27-05-23,22-06-23,Italy,41,Male,Tablet,1 Month
21,Premium,10-06-23,22-06-23,United States,26,Female,Laptop,1 Month
22,Basic,22-07-22,28-06-23,Canada,34,Male,Smartphone,1 Month
23,Standard,05-12-21,27-06-23,United Kingdom,49,Female,Smart TV,1 Month
24,Standard,03-04-22,26-06-23,Australia,31,Male,Tablet,1 Month
25,Basic,14-03-23,28-06-23,Germany,40,Female,Laptop,1 Month
26,Premium,12-01-22,27-06-23,France,29,Male,Smartphone,1 Month
27,Basic,29-08-22,25-06-23,Brazil,47,Female,Smart TV,1 Month
28,Standard,27-09-21,24-06-23,Mexico,33,Male,Tablet,1 Month
29,Premium,19-12-22,23-06-23,Spain,36,Female,Laptop,1 Month
30,Basic,17-05-23,22-06-23,Italy,42,Male,Smartphone,1 Month
31,Premium,03-02-23,22-06-23,United States,28,Female,Smart TV,1 Month
32,Basic,07-07-22,28-06-23,Canada,37,Male,Tablet,1 Month
33,Standard,21-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month
34,Standard,25-05-22,26-06-23,Australia,29,Male,Smartphone,1 Month
35,Basic,11-04-23,28-06-23,Germany,39,Female,Smart TV,1 Month
36,Premium,01-03-22,27-06-23,France,35,Male,Tablet,1 Month
37,Basic,14-09-22,25-06-23,Brazil,45,Female,Laptop,1 Month
38,Standard,05-11-21,24-06-23,Mexico,32,Male,Smartphone,1 Month
39,Premium,28-12-22,23-06-23,Spain,27,Female,Smart TV,1 Month
40,Basic,07-03-23,22-06-23,Italy,48,Male,Tablet,1 Month
41,Premium,20-01-23,22-06-23,United States,31,Female,Laptop,1 Month
42,Basic,15-06-22,28-06-23,Canada,40,Male,Smartphone,1 Month
43,Standard,07-02-22,27-06-23,United Kingdom,36,Female,Smart TV,1 Month
44,Standard,26-04-22,26-06-23,Australia,29,Male,Tablet,1 Month
45,Basic,28-01-23,28-06-23,Germany,43,Female,Laptop,1 Month
46,Premium,23-02-22,27-06-23,France,34,Male,Smartphone,1 Month
47,Basic,05-10-22,25-06-23,Brazil,39,Female,Smart TV,1 Month
48,Standard,15-09-21,24-06-23,Mexico,32,Male,Tablet,1 Month
49,Premium,10-11-22,23-06-23,Spain,28,Female,Laptop,1 Month
50,Basic,02-06-23,22-06-23,Italy,45,Male,Smartphone,1 Month
51,Premium,27-02-23,22-06-23,United States,30,Female,Smart TV,1 Month
52,Basic,29-08-22,28-06-23,Canada,37,Male,Tablet,1 Month
53,Standard,13-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month
54,Standard,30-06-22,26-06-23,Australia,29,Male,Smartphone,1 Month
55,Basic,20-04-23,28-06-23,Germany,39,Female,Smart TV,1 Month
56,Premium,15-03-22,27-06-23,France,36,Male,Tablet,1 Month
57,Basic,01-10-22,25-06-23,Brazil,46,Female,Laptop,1 Month
58,Standard,08-10-21,24-06-23,Mexico,34,Male,Smartphone,1 Month
59,Premium,03-12-22,23-06-23,Spain,27,Female,Smart TV,1 Month
60,Basic,14-06-23,22-06-23,Italy,42,Male,Tablet,1 Month
61,Premium,08-02-23,22-06-23,United States,28,Female,Laptop,1 Month
62,Basic,03-08-22,28-06-23,Canada,37,Male,Smartphone,1 Month
63,Standard,23-02-22,27-06-23,United Kingdom,41,Female,Smart TV,1 Month
64,Standard,20-06-22,26-06-23,Australia,29,Male,Tablet,1 Month
65,Basic,29-03-23,28-06-23,Germany,40,Female,Laptop,1 Month
66,Premium,30-01-22,27-06-23,France,29,Male,Smartphone,1 Month
67,Basic,18-09-22,25-06-23,Brazil,47,Female,Smart TV,1 Month
68,Standard,09-11-21,24-06-23,Mexico,33,Male,Tablet,1 Month
69,Premium,23-12-22,23-06-23,Spain,36,Female,Laptop,1 Month
70,Basic,08-05-23,22-06-23,Italy,41,Male,Smartphone,1 Month
71,Basic,26-01-22,20-06-23,United States,27,Male,Smartphone,1 Month
72,Basic,11-10-22,22-06-23,Canada,31,Female,Smartphone,1 Month
73,Standard,27-09-22,26-06-23,United Kingdom,28,Female,Laptop,1 Month
74,Premium,14-12-22,25-06-23,Australia,41,Female,Smartphone,1 Month
75,Basic,28-05-22,26-06-23,Germany,28,Female,Laptop,1 Month
76,Basic,29-12-21,26-06-23,France,51,Female,Laptop,1 Month
77,Premium,25-12-22,23-06-23,Brazil,45,Female,Smartphone,1 Month
78,Standard,18-11-22,28-06-23,Mexico,49,Male,Tablet,1 Month
79,Standard,03-12-22,25-06-23,Spain,43,Female,Laptop,1 Month
80,Basic,08-11-22,22-06-23,Italy,43,Male,Tablet,1 Month
81,Premium,11-01-23,24-06-23,United States,37,Male,Tablet,1 Month
82,Standard,07-12-22,28-06-23,Canada,35,Male,Laptop,1 Month
83,Basic,20-10-22,26-06-23,United Kingdom,46,Female,Smartphone,1 Month
84,Standard,13-04-23,25-06-23,Australia,32,Male,Smartphone,1 Month
85,Premium,06-04-23,27-06-23,Germany,37,Female,Laptop,1 Month
86,Basic,04-03-22,25-06-23,France,29,Female,Smartphone,1 Month
87,Premium,28-12-21,23-06-23,Brazil,45,Male,Smart TV,1 Month
88,Standard,27-09-22,28-06-23,Mexico,47,Male,Tablet,1 Month
89,Basic,20-10-22,26-06-23,Spain,39,Male,Smartphone,1 Month
90,Standard,03-02-23,23-06-23,Italy,49,Female,Smartphone,1 Month
91,Premium,03-10-22,23-06-23,United States,39,Male,Tablet,1 Month
92,Basic,05-01-22,28-06-23,Canada,39,Male,Smart TV,1 Month
93,Standard,05-02-22,26-06-23,United Kingdom,35,Male,Smartphone,1 Month
94,Premium,19-03-22,25-06-23,Australia,44,Male,Smartphone,1 Month
95,Basic,28-02-22,25-06-23,Germany,34,Male,Laptop,1 Month
96,Premium,26-07-22,24-06-23,France,32,Male,Laptop,1 Month
97,Basic,05-03-22,24-06-23,Brazil,29,Female,Tablet,1 Month
98,Standard,07-03-22,28-06-23,Mexico,31,Female,Tablet,1 Month
99,Standard,13-01-23,24-06-23,Spain,29,Female,Tablet,1 Month
100,Basic,22-01-23,25-06-23,Italy,35,Male,Laptop,1 Month
101,Premium,17-10-22,24-06-23,United States,46,Female,Tablet,1 Month
102,Basic,29-03-22,28-06-23,Canada,31,Male,Tablet,1 Month
103,Standard,04-04-22,26-06-23,United Kingdom,36,Male,Laptop,1 Month
104,Premium,08-06-22,25-06-23,Australia,38,Male,Laptop,1 Month
105,Basic,04-03-22,27-06-23,Germany,46,Female,Laptop,1 Month
106,Premium,18-03-22,24-06-23,France,49,Female,Tablet,1 Month
107,Basic,07-03-22,24-06-23,Brazil,29,Female,Smart TV,1 Month
108,Standard,24-05-22,25-06-23,Mexico,27,Female,Smart TV,1 Month
109,Standard,08-02-23,25-06-23,Spain,35,Female,Tablet,1 Month
110,Basic,26-01-23,24-06-23,Italy,37,Female,Laptop,1 Month
111,Premium,14-07-22,27-06-23,United States,40,Male,Tablet,1 Month
112,Basic,01-06-22,28-06-23,Canada,33,Female,Laptop,1 Month
113,Standard,07-05-22,26-06-23,United Kingdom,37,Male,Tablet,1 Month
114,Premium,18-11-22,25-06-23,Australia,48,Male,Smartphone,1 Month
115,Basic,05-04-22,25-06-23,Germany,50,Female,Laptop,1 Month
116,Premium,19-05-22,23-06-23,France,45,Female,Smart TV,1 Month
117,Basic,30-10-21,23-06-23,Brazil,40,Female,Tablet,1 Month
118,Standard,07-08-22,27-06-23,Mexico,33,Male,Smartphone,1 Month
119,Standard,20-09-22,25-06-23,Spain,44,Female,Smartphone,1 Month
120,Basic,18-10-22,25-06-23,Italy,30,Female,Smart TV,1 Month
121,Premium,03-10-22,24-06-23,United States,27,Male,Smart TV,1 Month
122,Basic,03-05-22,28-06-23,Canada,51,Male,Smart TV,1 Month
123,Standard,25-05-22,26-06-23,United Kingdom,49,Female,Smartphone,1 Month
124,Premium,05-11-22,25-06-23,Australia,43,Male,Laptop,1 Month
125,Basic,21-08-22,24-06-23,Germany,42,Male,Smartphone,1 Month
126,Premium,21-09-22,23-06-23,France,45,Male,Laptop,1 Month
127,Basic,23-11-21,23-06-23,Brazil,36,Male,Smartphone,1 Month
128,Standard,06-10-22,27-06-23,Mexico,48,Male,Smartphone,1 Month
129,Standard,05-11-22,23-06-23,Spain,38,Male,Smart TV,1 Month
130,Basic,07-01-23,23-06-23,Italy,43,Female,Tablet,1 Month
131,Premium,06-10-22,23-06-23,United States,47,Male,Laptop,1 Month
132,Basic,24-06-22,28-06-23,Canada,48,Female,Smart TV,1 Month
133,Standard,24-06-22,26-06-23,United Kingdom,47,Male,Smart TV,1 Month
134,Premium,05-11-22,25-06-23,Australia,32,Male,Tablet,1 Month
135,Basic,18-07-22,26-06-23,Germany,47,Female,Smart TV,1 Month
136,Premium,13-09-22,26-06-23,France,41,Female,Smart TV,1 Month
137,Basic,10-08-22,22-06-23,Brazil,49,Male,Laptop,1 Month
138,Standard,21-09-22,23-06-23,Mexico,28,Male,Laptop,1 Month
139,Standard,24-03-23,23-06-23,Spain,40,Male,Smartphone,1 Month
140,Basic,02-05-22,23-06-23,Italy,43,Female,Smartphone,1 Month
141,Premium,11-05-22,27-06-23,United States,42,Male,Smartphone,1 Month
142,Basic,10-06-22,22-06-23,Canada,28,Male,Smart TV,1 Month
143,Standard,31-08-22,24-06-23,United Kingdom,30,Female,Tablet,1 Month
144,Premium,17-08-22,26-06-23,Australia,33,Male,Smart TV,1 Month
145,Basic,05-05-22,26-06-23,Germany,35,Female,Laptop,1 Month
146,Basic,06-10-22,25-06-23,France,38,Male,Tablet,1 Month
147,Basic,08-11-22,24-06-23,Brazil,49,Female,Laptop,1 Month
148,Standard,27-11-22,28-06-23,Mexico,39,Female,Smartphone,1 Month
149,Premium,17-11-22,27-06-23,Spain,46,Female,Smart TV,1 Month
150,Basic,15-12-22,23-06-23,Italy,47,Female,Laptop,1 Month
151,Basic,12-12-22,25-06-23,United States,30,Female,Laptop,1 Month
152,Premium,23-11-22,27-06-23,Canada,33,Female,Tablet,1 Month
153,Standard,25-12-22,24-06-23,United Kingdom,47,Male,Smartphone,1 Month
154,Standard,11-03-23,27-06-23,Australia,27,Male,Laptop,1 Month
155,Basic,18-11-22,27-06-23,Germany,28,Male,Tablet,1 Month
156,Premium,19-08-22,25-06-23,France,47,Male,Smartphone,1 Month
157,Standard,27-09-22,24-06-23,Brazil,30,Male,Laptop,1 Month
158,Basic,19-10-22,28-06-23,Mexico,47,Female,Smartphone,1 Month
159,Standard,21-12-22,26-06-23,Spain,51,Female,Smart TV,1 Month
160,Premium,27-10-22,25-06-23,Italy,39,Male,Smartphone,1 Month
161,Basic,23-10-22,24-06-23,United States,45,Male,Tablet,1 Month
162,Premium,19-04-22,25-06-23,Canada,31,Male,Laptop,1 Month
163,Standard,05-04-22,26-06-23,United Kingdom,29,Male,Laptop,1 Month
164,Basic,11-03-22,26-06-23,Australia,42,Female,Tablet,1 Month
165,Standard,25-05-22,25-06-23,Germany,49,Male,Tablet,1 Month
